"","date","state","net_approval","fips","cases","deaths","death_rate","delta_cases_date","delta_cases","cases_rate_percent_change","delta_death_date","delta_death","Death_rate_percent_change","delta_date","delta_approval_rate","approval_rate_percent_change"
"2513",2020-04-18,"texas",0.0403286616916717,48,18927,487,2.57304379986263,1,796,0.0420563216568923,1,26,0.053388090349076,1,-0.0021451415793442,-0.0531914893617012
"2514",2020-04-19,"texas",0.038196520970384,48,19441,503,2.58731546731135,1,514,0.0264389691888277,1,16,0.0318091451292246,1,-0.00213214072128765,-0.0558202859087826
"2515",2020-04-20,"texas",0.0360648491230808,48,20035,523,2.61043174444722,1,594,0.0296481157973546,1,20,0.0382409177820268,1,-0.00213167184730323,-0.0591066342750621
"2516",2020-04-21,"texas",0.0365584128552486,48,20949,552,2.63497064299012,1,914,0.0436297675306697,1,29,0.052536231884058,1,0.000493563732167801,0.0135006881759896
"2517",2020-04-22,"texas",0.037065446319457,48,21769,571,2.6229960034912,1,820,0.0376682438329735,1,19,0.0332749562171629,1,0.00050703346420844,0.0136794107330708
"2518",2020-04-23,"texas",0.0375724797836657,48,22706,601,2.64687747731877,1,937,0.0412666255615256,1,30,0.0499168053244592,1,0.000507033464208662,0.013494809688582
"2519",2020-04-24,"texas",0.0380800083206573,48,23650,625,2.64270613107822,1,944,0.0399154334038055,1,24,0.0384,1,0.000507528536991653,0.0133279523659225
"2520",2020-04-25,"texas",0.0385870483768217,48,24494,662,2.7027027027027,1,844,0.0344574181432187,1,37,0.0558912386706949,1,0.000507040056164365,0.0131401617250655
"2521",2020-04-26,"texas",0.0385870483768217,48,25206,676,2.68190113465048,1,712,0.0282472427199873,1,14,0.0207100591715976,1,0,0
"2522",2020-04-27,"texas",0.0385870483768217,48,25960,699,2.69260400616333,1,754,0.0290446841294299,1,23,0.0329041487839771,1,0,0
"2523",2020-04-28,"texas",0.0385870483768217,48,26865,738,2.74706867671692,1,905,0.0336869532849432,1,39,0.0528455284552846,1,0,0
"2524",2020-04-29,"texas",0.0385870483768217,48,27836,776,2.78775686161805,1,971,0.0348828854720506,1,38,0.0489690721649485,1,0,0
"2525",2020-02-25,"utah",0.0663916977115488,49,1,0,0,NA,NA,NA,NA,NA,NA,-64,0.0278046493347271,-0.00654370442133669
"2526",2020-02-26,"utah",0.0689288090485695,49,1,0,0,1,0,0,1,0,NA,1,0.00253711133702073,0.0368077059801366
"2527",2020-02-27,"utah",0.0714475784992016,49,1,0,0,1,0,0,1,0,NA,1,0.00251876945063206,0.0352533914170403
"2528",2020-02-28,"utah",0.0739853626081172,49,1,0,0,1,0,0,1,0,NA,1,0.00253778410891559,0.0343011647095335
"2529",2020-02-29,"utah",0.0765034592868548,49,1,0,0,1,0,0,1,0,NA,1,0.00251809667873759,0.0329148080650291
"2530",2020-03-01,"utah",0.0788983501862693,49,1,0,0,1,0,0,1,0,NA,1,0.00239489089941453,0.0303541315345693
"2531",2020-03-02,"utah",0.0784992017030336,49,1,0,0,1,0,0,1,0,NA,1,-0.00039914848323569,-0.00508474576271092
"2532",2020-03-03,"utah",0.0779670037253859,49,1,0,0,1,0,0,1,0,NA,1,-0.000532197977647697,-0.00682593856655305
"2533",2020-03-04,"utah",0.0775781769793746,49,1,0,0,1,0,0,1,0,NA,1,-0.000388826746011317,-0.00501206345844777
"2534",2020-03-05,"utah",0.0773017562533261,49,1,0,0,1,0,0,1,0,NA,1,-0.000276420726048443,-0.00357586605332203
